"cat","year","title","roles","media","featured","url","img","fit","bg"
"EXHIBITION","2025","전시 부스 기획 · 공간 구성","Concept|Space Planning|Message|Field Operation","photo","TRUE","","","",""
"VIDEO","2026","CES Innovation Award 출품 영상","Concept|Storyboard|AI Production|Editing","video","TRUE","","","",""
"WEB","2026","UBio-X LiveGuard — CES 2027 출품 랜딩페이지","Audience Definition|IA|Narrative|Build","web","TRUE","https://unionbiometrics.com/ces2027/ubio-x-liveguard/","","","#17171A"
"EDITORIAL","2025","기술 백서 (Whitepaper)","Structure|Writing|Editing","print","TRUE","","","",""
"WEB","2024","보험 정보 설명 페이지 (외주)","Information Priority|Build","web","TRUE","","","",""
"SOCIAL","2022","청년 타깃 숏폼 콘텐츠","Audience Insight|Concept|Editing","video","TRUE","","","",""
"SALES","2025","SK쉴더스 영업용 4컷 만화","Scenario|Panel Design","image","TRUE","","","",""
"SALES","2026","PetID 영문 3단 브로슈어","Message Structure|Copy|Layout","print","TRUE","https://unionbiometrics.com/wp-content/uploads/2026/08/260511-%EC%98%81%EB%AC%B8-ProjectPet-3%EB%8B%A8-%EB%B8%8C%EB%A1%9C%EC%8A%88%EC%96%B4-0.1.pdf","","",""
"WEB","2026","UBio PetID — CES 2027 출품 랜딩페이지","Audience Definition|IA|Narrative|Build","web","","https://unionbiometrics.com/ces2027/ubio-petid","https://unionbiometrics.com/wp-content/uploads/2026/08/2.2958.png","contain","#F0EDE8"
"VIDEO","2026","PetID 4-in-1 등록 시연 영상","Scenario|Scene Design|Editing","video","","https://unionbiometrics.com/wp-content/uploads/2026/08/0821-CES-2027-%ED%98%81%EC%8B%A0%EC%83%81-%EC%B6%9C%ED%92%88-%ED%99%88%ED%8E%98%EC%9D%B4%EC%A7%80_PetID.mp4","","",""
"AI VISUAL","2026","PetID 생애주기 일러스트","Concept|Prompt Design|Generation","image","","","https://unionbiometrics.com/wp-content/uploads/2026/08/Puppy.png","contain","#F4F2EF"
"AI VISUAL","2026","PetID 활용 환경 비주얼","Concept|Prompt Design|Generation","image","","","https://unionbiometrics.com/wp-content/uploads/2026/08/ChatGPT-Image-2026%EB%85%84-8%EC%9B%94-21%EC%9D%BC-%EC%98%A4%ED%9B%84-02_07_04.jpg","",""
"AI VISUAL","2026","PetID 비접촉 인식 장치 비주얼","Prompt Design|Generation|Retouch","image","","","https://unionbiometrics.com/wp-content/uploads/2026/08/ChatGPT-Image-2026%EB%85%84-8%EC%9B%94-21%EC%9D%BC-%EC%98%A4%EC%A0%84-09_42_31.png","contain","#F4F2EF"
"VIDEO","2026","LiveGuard 제품 홍보영상","Concept|Storyboard|AI Production","video","","","","",""
"VIDEO","2025","HeartID 제품 영상","Planning|Editing","video","","","","",""
"VIDEO","2025","전시 부스 상영 영상","Planning|Scene Design|Editing","video","","","","",""
"VIDEO","2025","제품 Demo 영상","Scenario|Editing","video","","","","",""
"VIDEO","2025","컨퍼런스 영상","Planning|Editing","video","","","","",""
"AI VISUAL","2026","AI Key Visual","Prompt Design|Generation|Retouch","image","","","","",""
"AI VISUAL","2025","기술 설명 비주얼","Information Design","image","","","","",""
"AI VISUAL","2025","인포그래픽","Information Design|Layout","image","","","","",""
"WEB","2025","기업 홈페이지 리뉴얼","Audience Definition|IA|Content Planning","web","","","","",""
"WEB","2025","Support Hub","IA|Access Design","web","","","","",""
"WEB","2025","제품 Landing Page","Message Hierarchy|Build","web","","","","",""
"EDITORIAL","2025","GEO 콘텐츠 클러스터","Search Analysis|Content Architecture","print","","","","",""
"EDITORIAL","2025","블로그 콘텐츠","Planning|Writing","print","","","","",""
"EDITORIAL","2025","뉴스레터","Planning|Writing|Layout","print","","","","",""
"SALES","2025","제품 브로슈어 · 국문 / 영문","Message Structure|Copy|Review","print","","","","",""
"SALES","2025","영업 매뉴얼 (Sales Manual)","Audience Split|Structure","print","","","","",""
"SALES","2025","현장용 Quick Guide","Task Flow|Layout","print","","","","",""
"SALES","2025","제안 자료 (Proposal)","Data Analysis|Narrative","print","","","","",""
"SALES","2025","파트너 가이드","Structure|Writing","print","","","","",""
"SOCIAL","2022","청년 타깃 SNS 콘텐츠","Planning|Message|Design","image","","","","",""
"EXHIBITION","2025","전시 키비주얼","Concept|Visual","image","","","","",""
"EXHIBITION","2025","제품 Demo 시나리오","Scenario|Cross-team Alignment","photo","","","","",""
"EXHIBITION","2025","전시 현장 운영","Field Operation|Lead Flow","photo","","","","",""
"EXHIBITION","2025","컨퍼런스 콘텐츠","Planning|Production","photo","","","","",""
"EXHIBITION","2024","연례 캘린더","Planning|Review|Delivery","print","","","","",""
